model_type,network_structure,relative_error
PINN,3x30,0.6540954337848603
IFNN-PINN,3x30,0.12896177465223926
A-PINN,3x30,0.020778515382567222
H-PINN,3x30,0.008584896674469015
PINN,3x50,0.21865263711123087
IFNN-PINN,3x50,0.019305371889477285
A-PINN,3x50,0.01105741632465945
H-PINN,3x50,0.0037682727497031104
PINN,3x70,0.07798330927567358
IFNN-PINN,3x70,0.018744678900711756
A-PINN,3x70,0.012481633766966984
H-PINN,3x70,0.0025966091489304905
PINN,3x90,0.09691378772641547
IFNN-PINN,3x90,0.016346369300637764
A-PINN,3x90,0.004364038313954498
H-PINN,3x90,0.0026661603863379906
PINN,5x30,0.46946619971518655
IFNN-PINN,5x30,0.04542090335531057
A-PINN,5x30,0.018108081602133185
H-PINN,5x30,0.00507399467375063
PINN,5x50,0.1491287373394893
IFNN-PINN,5x50,0.022269952235097687
A-PINN,5x50,0.012044874181313343
H-PINN,5x50,0.0028090185761156686
PINN,5x70,0.2514127274871657
IFNN-PINN,5x70,0.017328511728072298
A-PINN,5x70,0.006318047044610364
H-PINN,5x70,0.001760080926240069
PINN,5x90,0.13467072215245424
IFNN-PINN,5x90,0.011528774507619593
A-PINN,5x90,0.004519732817319447
H-PINN,5x90,0.001882208384251221
PINN,7x30,0.22925188481259176
IFNN-PINN,7x30,0.029002641519804747
A-PINN,7x30,0.018740940145234683
H-PINN,7x30,0.004424574315163421
PINN,7x50,0.15034460959032192
IFNN-PINN,7x50,0.013302554455054643
A-PINN,7x50,0.006684918149347152
H-PINN,7x50,0.0021551870796861438
PINN,7x70,0.21997732386260546
IFNN-PINN,7x70,0.02224417202949621
A-PINN,7x70,0.007309689216164313
H-PINN,7x70,0.0023770055248949376
PINN,7x90,0.04097285611612761
IFNN-PINN,7x90,0.022864608467626023
A-PINN,7x90,0.010017326377269223
H-PINN,7x90,0.0020378344710498862
