model_type,network_structure,relative_error
PINN,3x30,0.2654554570749963
IFNN-PINN,3x30,0.0447569718494095
A-PINN,3x30,0.017166826571591645
H-PINN,3x30,0.0050286192257872255
PINN,3x50,0.2327658505001226
IFNN-PINN,3x50,0.051368808615172665
A-PINN,3x50,0.025211684778054144
H-PINN,3x50,0.002997792963890451
PINN,3x70,0.3805522520147173
IFNN-PINN,3x70,0.06532567209107894
A-PINN,3x70,0.009643076959211684
H-PINN,3x70,0.004254481970705078
PINN,3x90,0.0669772421990116
IFNN-PINN,3x90,0.039521424293722796
A-PINN,3x90,0.008641312324665197
H-PINN,3x90,0.004542427869477749
PINN,5x30,0.1262146119794414
IFNN-PINN,5x30,0.1436499280195271
A-PINN,5x30,0.020180447650212038
H-PINN,5x30,0.005398455528159596
PINN,5x50,0.11044270563047255
IFNN-PINN,5x50,0.026994005671620223
A-PINN,5x50,0.028704515792235017
H-PINN,5x50,0.0065864950644426105
PINN,5x70,0.16532519580858052
IFNN-PINN,5x70,0.07935189360131059
A-PINN,5x70,0.0060086111174367
H-PINN,5x70,0.004085519589349274
PINN,5x90,0.10958239253035208
IFNN-PINN,5x90,0.01959849622865924
A-PINN,5x90,0.0068234346563381424
H-PINN,5x90,0.003058671855542999
PINN,7x30,0.442948680408179
IFNN-PINN,7x30,0.13275187698690583
A-PINN,7x30,0.016455948936730205
H-PINN,7x30,0.005890454112840057
PINN,7x50,0.11092593749199409
IFNN-PINN,7x50,0.08174785082695075
A-PINN,7x50,0.01970711215467625
H-PINN,7x50,0.0035586511885362837
PINN,7x70,0.07142520458894613
IFNN-PINN,7x70,0.019766329679683933
A-PINN,7x70,0.015804199726670118
H-PINN,7x70,0.0038027863637748395
PINN,7x90,0.14619742241743452
IFNN-PINN,7x90,0.06760385852642445
A-PINN,7x90,0.012051704885020637
H-PINN,7x90,0.004262684691322444
